epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16041.2,0.82166,0.10263,0.20973,0.98261,0.97413,0.99265,0.84493,0.69389,0.06667,0.2039,0.0005941,0.0005941,0.0005941
43,16422.3,0.82026,0.10318,0.20963,0.98258,0.97249,0.99259,0.8447,0.69439,0.06706,0.20378,0.0005842,0.0005842,0.0005842
44,16803.2,0.79973,0.1034,0.20566,0.98415,0.97298,0.9927,0.84588,0.6956,0.06721,0.20369,0.0005743,0.0005743,0.0005743
45,17184.2,0.80229,0.09994,0.20733,0.98684,0.97022,0.99219,0.84513,0.69574,0.0677,0.20326,0.0005644,0.0005644,0.0005644
46,17565.1,0.79349,0.10041,0.20695,0.98722,0.96887,0.9926,0.84568,0.69517,0.06773,0.20313,0.0005545,0.0005545,0.0005545
47,17946,0.79752,0.09915,0.20682,0.98777,0.96708,0.99238,0.84558,0.69457,0.06782,0.20309,0.0005446,0.0005446,0.0005446
48,18327,0.7912,0.10067,0.20526,0.98406,0.96772,0.99228,0.84523,0.69369,0.06771,0.20291,0.0005347,0.0005347,0.0005347
49,18708,0.78591,0.09864,0.20576,0.9825,0.96826,0.99199,0.84619,0.6933,0.0677,0.20284,0.0005248,0.0005248,0.0005248
50,19088.3,0.79002,0.09876,0.20704,0.9824,0.97335,0.9919,0.84792,0.69192,0.06794,0.20313,0.0005149,0.0005149,0.0005149
51,19469.3,0.79447,0.09989,0.20648,0.97997,0.97335,0.9919,0.84834,0.68906,0.06782,0.2031,0.000505,0.000505,0.000505
52,19850.3,0.77772,0.09522,0.20579,0.97946,0.97155,0.99191,0.84729,0.68907,0.06781,0.203,0.0004951,0.0004951,0.0004951
53,20231.5,0.77115,0.09754,0.20447,0.97794,0.97022,0.99195,0.84838,0.69062,0.06757,0.20312,0.0004852,0.0004852,0.0004852
54,20612.5,0.76635,0.09616,0.20499,0.97966,0.97022,0.99205,0.84815,0.6912,0.06759,0.20337,0.0004753,0.0004753,0.0004753
55,20993.4,0.76904,0.0985,0.20509,0.98195,0.97335,0.9924,0.84925,0.69199,0.06718,0.20361,0.0004654,0.0004654,0.0004654
56,21374.4,0.74895,0.09227,0.20253,0.98421,0.97717,0.99276,0.84898,0.6917,0.0671,0.20355,0.0004555,0.0004555,0.0004555
57,21755.4,0.75256,0.09443,0.20108,0.98432,0.97962,0.99292,0.85091,0.69302,0.06644,0.20364,0.0004456,0.0004456,0.0004456
58,22136.4,0.75466,0.09446,0.20235,0.99318,0.97022,0.99324,0.85166,0.69513,0.066,0.20353,0.0004357,0.0004357,0.0004357
59,22517.3,0.74194,0.09274,0.20185,0.99203,0.97536,0.99331,0.85184,0.69588,0.06575,0.20321,0.0004258,0.0004258,0.0004258
60,22898.3,0.73438,0.08983,0.19975,0.99152,0.97649,0.99364,0.85353,0.69414,0.06516,0.20259,0.0004159,0.0004159,0.0004159
61,23279,0.73037,0.08994,0.19913,0.99048,0.97853,0.99366,0.85363,0.69579,0.06475,0.20241,0.000406,0.000406,0.000406
62,23659.9,0.73006,0.09077,0.19982,0.99203,0.97605,0.99361,0.85363,0.69656,0.06429,0.20237,0.0003961,0.0003961,0.0003961
63,24040.9,0.72171,0.08949,0.20037,0.99557,0.97649,0.99384,0.85364,0.6975,0.06386,0.20227,0.0003862,0.0003862,0.0003862
64,24421.8,0.73142,0.08845,0.19889,0.9968,0.97633,0.99388,0.85314,0.69792,0.06382,0.2019,0.0003763,0.0003763,0.0003763
65,24802.6,0.71014,0.08811,0.19855,0.9968,0.97611,0.99387,0.85321,0.69629,0.06386,0.20142,0.0003664,0.0003664,0.0003664
66,25183.4,0.72157,0.08717,0.19971,0.99429,0.97492,0.99383,0.85262,0.6966,0.06402,0.20119,0.0003565,0.0003565,0.0003565
67,25564.4,0.71016,0.08766,0.19764,0.99638,0.97492,0.99394,0.85157,0.69472,0.064,0.20037,0.0003466,0.0003466,0.0003466
68,25945.4,0.70333,0.08577,0.19888,0.99679,0.97429,0.99398,0.85158,0.69486,0.06396,0.20028,0.0003367,0.0003367,0.0003367
69,26326.5,0.69646,0.08566,0.19867,0.98791,0.98119,0.99397,0.85038,0.69683,0.06415,0.20049,0.0003268,0.0003268,0.0003268
70,26707.5,0.69556,0.08522,0.19718,0.98873,0.98276,0.994,0.85189,0.69767,0.06377,0.20062,0.0003169,0.0003169,0.0003169
71,27088.6,0.68597,0.0839,0.19646,0.98898,0.9848,0.99399,0.8521,0.69772,0.0637,0.20065,0.000307,0.000307,0.000307
72,27469.3,0.68306,0.08292,0.19668,0.98743,0.98468,0.99389,0.85233,0.69878,0.06392,0.20077,0.0002971,0.0002971,0.0002971
73,27850.2,0.68521,0.08362,0.19687,0.98743,0.98522,0.99396,0.85288,0.70012,0.06393,0.20075,0.0002872,0.0002872,0.0002872
74,28231.2,0.67672,0.08194,0.19692,0.98743,0.98531,0.99401,0.85185,0.70103,0.06355,0.20094,0.0002773,0.0002773,0.0002773
75,28612.2,0.67989,0.08177,0.19722,0.98742,0.984,0.99399,0.85175,0.70183,0.06355,0.20136,0.0002674,0.0002674,0.0002674
76,28993.3,0.67783,0.08126,0.19568,0.98741,0.98324,0.99399,0.85336,0.70256,0.06364,0.20165,0.0002575,0.0002575,0.0002575
77,29374.4,0.67396,0.08074,0.19596,0.98896,0.98262,0.99405,0.85322,0.70306,0.06381,0.20182,0.0002476,0.0002476,0.0002476
78,29755.6,0.66484,0.07961,0.19422,0.9905,0.98079,0.9941,0.85368,0.70443,0.06386,0.20197,0.0002377,0.0002377,0.0002377
79,30136.7,0.66127,0.07977,0.19401,0.99049,0.97941,0.994,0.85265,0.70773,0.06357,0.20243,0.0002278,0.0002278,0.0002278
80,30517.7,0.65232,0.07646,0.19379,0.99005,0.97962,0.99401,0.8521,0.70769,0.0632,0.20265,0.0002179,0.0002179,0.0002179
81,30900.6,0.57575,0.06098,0.1789,0.99049,0.97944,0.99406,0.85169,0.70793,0.06278,0.2028,0.000208,0.000208,0.000208
82,31283.1,0.56994,0.06158,0.17876,0.99202,0.97806,0.99405,0.85077,0.70935,0.0625,0.20306,0.0001981,0.0001981,0.0001981
83,31663.4,0.57132,0.05998,0.17861,0.99285,0.97806,0.99412,0.85084,0.70937,0.06226,0.20309,0.0001882,0.0001882,0.0001882
84,32043.5,0.56082,0.05945,0.17785,0.99305,0.97806,0.99417,0.85217,0.70809,0.06209,0.20279,0.0001783,0.0001783,0.0001783
85,32423.2,0.54491,0.05561,0.17526,0.99356,0.97806,0.99418,0.85219,0.70749,0.06205,0.20257,0.0001684,0.0001684,0.0001684
86,32802.4,0.54486,0.05866,0.17657,0.99304,0.97806,0.99414,0.85132,0.70698,0.06186,0.20221,0.0001585,0.0001585,0.0001585
