color,date,count
grn,2024-08-27,38389
grn,2024-08-28,69449
grn,2024-08-29,94598
grn,2024-08-30,45139
grn,2024-09-03,65038
grn,2024-09-04,94347
grn,2024-09-05,87254
grn,2024-09-06,74030
grn,2024-09-07,74315
grn,2024-09-08,24814
yel,2024-07-11,36988
yel,2024-07-12,37030
yel,2024-07-13,36858
yel,2024-07-14,37014
yel,2024-07-15,18448
yel,2024-07-16,18451
yel,2024-07-18,57651
yel,2024-07-19,99356
yel,2024-07-20,92673
yel,2024-07-21,99417
yel,2024-07-22,99428
yel,2024-07-23,32571
yel,2024-07-24,92785
yel,2024-07-25,92735
yel,2024-07-26,92779
yel,2024-07-27,92584
yel,2024-07-28,92810
yel,2024-07-29,82568
yel,2024-07-30,93110
yel,2024-07-31,92770
yel,2024-08-01,91695
yel,2024-08-02,94754
yel,2024-08-03,94720
yel,2024-08-04,94139
yel,2024-08-05,49013
yel,2024-08-06,94666
yel,2024-08-07,80866
yel,2024-08-08,94291
yel,2024-08-09,94334
yel,2024-08-10,94615
yel,2024-08-11,66354
yel,2024-08-12,382
yel,2024-08-13,47048
yel,2024-08-14,47236
yel,2024-08-15,56216
yel,2024-08-16,95175
yel,2024-08-17,81593
yel,2024-08-18,18448
yel,2024-08-19,7606
yel,2024-08-20,47182
yel,2024-08-21,47703
yel,2024-08-22,36562
yel,2024-08-23,47791
yel,2024-08-24,47748
yel,2024-08-25,47756
yel,2024-08-26,47229
yel,2024-08-27,47482
yel,2024-08-28,36158
yel,2024-08-29,47623
yel,2024-08-30,42781
yel,2024-09-03,33030
yel,2024-09-04,47499
yel,2024-09-05,19085
