color,date,pi,count
blv,2024-08-23,6,47212
blv,2024-08-24,2,47174
blv,2024-08-24,6,47085
blv,2024-08-25,2,46813
blv,2024-08-25,6,46823
blv,2024-08-26,2,46908
blv,2024-08-26,6,46820
blv,2024-08-27,2,18949
blv,2024-08-27,6,27459
blv,2024-08-28,2,35347
blv,2024-08-28,6,35029
blv,2024-08-29,2,46967
blv,2024-08-29,6,46897
blv,2024-08-30,2,14048
blv,2024-08-30,6,13360
blv,2024-09-03,1,33163
blv,2024-09-03,10,31484
blv,2024-09-04,1,46886
blv,2024-09-04,10,46986
blv,2024-09-05,1,43585
blv,2024-09-05,10,43657
blv,2024-09-06,1,36955
blv,2024-09-06,10,37015
blv,2024-09-07,1,7362
blv,2024-09-07,10,37016
blv,2024-09-08,10,11541
cnt,2024-07-11,1,18228
cnt,2024-07-11,6,18417
cnt,2024-07-12,1,17903
cnt,2024-07-12,6,18286
cnt,2024-07-13,1,18089
cnt,2024-07-13,6,18105
cnt,2024-07-14,1,18150
cnt,2024-07-14,6,18319
cnt,2024-07-15,1,16376
cnt,2024-07-15,6,18213
cnt,2024-07-16,6,6102
cnt,2024-07-18,4,31611
cnt,2024-07-18,8,28788
cnt,2024-07-19,4,49687
cnt,2024-07-19,8,49691
cnt,2024-07-20,4,14684
cnt,2024-07-20,8,24449
cnt,2024-07-21,4,49690
cnt,2024-07-21,8,49682
cnt,2024-07-22,4,48719
cnt,2024-07-22,8,49670
cnt,2024-07-23,4,134
cnt,2024-07-23,8,18608
cnt,2024-07-24,2,46369
cnt,2024-07-24,7,46399
cnt,2024-07-25,2,46362
cnt,2024-07-25,7,46335
cnt,2024-07-26,2,46367
cnt,2024-07-26,7,46317
cnt,2024-07-27,2,46285
cnt,2024-07-27,7,46249
cnt,2024-07-28,2,46349
cnt,2024-07-28,7,46355
cnt,2024-07-29,2,46299
cnt,2024-07-29,7,46291
cnt,2024-07-30,2,46344
cnt,2024-07-30,7,46319
cnt,2024-07-31,2,46384
cnt,2024-07-31,7,46330
cnt,2024-08-01,2,43920
cnt,2024-08-01,7,46364
cnt,2024-08-02,2,47036
cnt,2024-08-02,7,47012
cnt,2024-08-03,2,47095
cnt,2024-08-03,7,47112
cnt,2024-08-04,2,46855
cnt,2024-08-04,7,46622
cnt,2024-08-05,2,6247
cnt,2024-08-05,7,7168
cnt,2024-08-06,2,47120
cnt,2024-08-06,7,46974
cnt,2024-08-07,2,43546
cnt,2024-08-07,7,47145
cnt,2024-08-08,2,47037
cnt,2024-08-08,7,47078
cnt,2024-08-09,2,46987
cnt,2024-08-09,7,46934
cnt,2024-08-10,2,47106
cnt,2024-08-10,7,47126
cnt,2024-08-11,2,30667
cnt,2024-08-11,7,30806
cnt,2024-08-12,2,1
cnt,2024-08-12,7,1
cnt,2024-08-13,2,47182
cnt,2024-08-13,7,47248
cnt,2024-08-14,2,46895
cnt,2024-08-14,7,46963
cnt,2024-08-15,2,26391
cnt,2024-08-15,3,10111
cnt,2024-08-15,7,20443
cnt,2024-08-15,8,8921
cnt,2024-08-16,3,47198
cnt,2024-08-16,8,47314
cnt,2024-08-17,3,35333
cnt,2024-08-17,8,10479
cnt,2024-08-19,3,7178
cnt,2024-08-19,8,7026
cnt,2024-08-20,3,46985
cnt,2024-08-20,8,47043
cnt,2024-08-21,3,29153
cnt,2024-08-21,8,47135
cnt,2024-08-22,3,7625
