Relative:208		
370.649	-1098.57	
371.03	-172.86	
371.41	59.77	
371.79	172.07	
372.171	-14.14	
372.551	-1015	
372.931	420.91	
373.312	-266.36	
373.692	26.28	
374.072	46.91	
374.452	-151.82	
374.832	59.37	
375.212	-209.5	
375.592	29.31	
375.972	-57.59	
376.352	21.61	
376.732	22.09	
377.112	85.17	
377.491	146.35	
377.871	115.19	
378.251	-1.72	
378.631	43.11	
379.01	-835	
379.39	-397.27	
379.769	87.96	
380.149	89.49	
380.528	95.12	
380.908	89.3	
381.287	95.66	
381.667	87.3	
382.046	87.14	
382.425	89.85	
382.804	102.63	
383.184	91.59	
383.563	92.77	
383.942	87.21	
384.321	91.43	
384.7	91.72	
385.079	94.2	
385.458	89.97	
385.837	88.02	
386.216	87.18	
386.595	85.8	
386.974	88.65	
387.352	89.53	
387.731	89.56	
388.11	88.5	
388.489	85.41	
388.867	86.89	
389.246	85.39	
389.624	85.24	
390.003	88.3	
390.381	85.66	
390.76	83.35	
391.138	86.01	
391.517	85.53	
391.895	84.99	
392.273	81.39	
392.651	85.39	
393.03	85.35	
393.408	81.97	
393.786	82.49	
394.164	82.67	
394.542	83.56	
394.92	80.88	
395.298	80.65	
395.676	79.7	
396.054	81.79	
396.432	79.37	
396.81	81.37	
397.187	81.46	
397.565	80.56	
397.943	80.8	
398.32	80.26	
398.698	81.11	
399.076	81.01	
399.453	79.52	
399.831	80.91	
400.208	80.3	
400.586	81.67	
400.963	81.96	
401.34	81.62	
401.718	80.14	
402.095	81.45	
402.472	80.67	
402.849	83.02	
403.227	81.96	
403.604	82.18	
403.981	81.61	
404.358	80.82	
404.735	83.1	
405.112	81.38	
405.489	81.47	
405.866	83.39	
406.242	84.8	
406.619	82.74	
406.996	83.02	
407.373	81.73	
407.749	82.65	
408.126	82.05	
408.503	83.25	
408.879	83.72	
409.256	82.1	
409.632	82.29	
410.009	82.93	
410.385	84.58	
410.761	83.65	
411.138	82.37	
411.514	83.91	
411.89	83.55	
412.267	83.51	
412.643	83.46	
413.019	83.52	
413.395	84.54	
413.771	83.6	
414.147	84.91	
414.523	84.02	
414.899	84.04	
415.275	84.48	
415.651	84.8	
416.027	84.51	
416.402	84.94	
416.778	84.94	
417.154	85.84	
417.529	85.56	
417.905	85.4	
418.281	84.98	
418.656	86.1	
419.032	84.9	
419.407	86	
419.783	86.03	
420.158	85.44	
420.533	84.8	
420.909	86.02	
421.284	84.89	
421.659	85.23	
422.034	85.72	
422.41	86.05	
422.785	84.55	
423.16	86.15	
423.535	85.44	
423.91	84.72	
424.285	84.99	
424.66	85.45	
425.035	83.88	
425.409	84.66	
425.784	85.58	
426.159	86.32	
426.534	84.71	
426.908	85.54	
427.283	85.81	
427.658	85.71	
428.032	84.67	
428.407	85.02	
428.781	85.45	
429.156	85.3	
429.53	84.73	
429.904	86.35	
430.279	85.28	
430.653	86.32	
431.027	85.7	
431.401	85.42	
431.776	86.61	
432.15	85.6	
432.524	85.58	
432.898	86.31	
433.272	86.46	
433.646	85.91	
434.02	87.57	
434.394	87.6	
434.767	87.05	
435.141	85.49	
435.515	87.46	
435.889	86.1	
436.262	87.08	
436.636	86.51	
437.01	86.77	
437.383	86.53	
437.757	86.58	
438.13	87.68	
438.504	85.79	
438.877	87.18	
439.251	87.5	
439.624	86.54	
439.997	86.18	
440.37	85.61	
440.744	86.25	
441.117	84.94	
441.49	87.15	
441.863	87.1	
442.236	86.14	
442.609	86.34	
442.982	85.56	
443.355	87.66	
443.728	86.18	
444.101	86.74	
444.474	86.31	
444.846	85.59	
445.219	87.09	
445.592	87.1	
445.964	85.42	
446.337	86.42	
446.71	85.92	
447.082	85.3	
447.455	86.1	
447.827	84.75	
448.2	84.18	
448.572	84.17	
448.944	84.29	
