USB2G13063_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
364.391	16.83	364.391	13.22	364.391	13.5	364.391	18	364.391	19.28	364.391	22.17	
364.759	13.83	364.759	16.22	364.759	18.5	364.759	18	364.759	13.28	364.759	18.17	
365.127	11.83	365.127	15.22	365.127	17.5	365.127	15	365.127	16.28	365.127	14.17	
365.494	11.83	365.494	15.22	365.494	13.5	365.494	17	365.494	15.28	365.494	16.17	
365.862	10.83	365.862	21.22	365.862	17.5	365.862	20	365.862	18.28	365.862	25.17	
366.229	15.83	366.229	17.22	366.229	18.5	366.229	17	366.229	16.28	366.229	17.17	
366.597	15.83	366.597	18.22	366.597	17.5	366.597	14	366.597	15.28	366.597	14.17	
366.964	19.83	366.964	15.22	366.964	16.5	366.964	13	366.964	17.28	366.964	18.17	
367.332	12.83	367.332	17.22	367.332	18.5	367.332	14	367.332	11.28	367.332	15.17	
367.699	12.83	367.699	12.22	367.699	18.5	367.699	14	367.699	17.28	367.699	15.17	
368.067	17.83	368.067	14.22	368.067	13.5	368.067	12	368.067	20.28	368.067	15.17	
368.434	15.83	368.434	19.22	368.434	15.5	368.434	16	368.434	17.28	368.434	20.17	
368.801	21.83	368.801	14.22	368.801	18.5	368.801	19	368.801	20.28	368.801	20.17	
369.169	17.83	369.169	18.22	369.169	16.5	369.169	22	369.169	17.28	369.169	18.17	
369.536	14.83	369.536	18.22	369.536	17.5	369.536	20	369.536	13.28	369.536	18.17	
369.903	18.83	369.903	19.22	369.903	16.5	369.903	15	369.903	18.28	369.903	21.17	
370.271	19.83	370.271	14.22	370.271	23.5	370.271	16	370.271	13.28	370.271	14.17	
370.638	14.83	370.638	20.22	370.638	12.5	370.638	12	370.638	12.28	370.638	18.17	
371.005	17.83	371.005	19.22	371.005	20.5	371.005	17	371.005	19.28	371.005	18.17	
371.372	18.83	371.372	20.22	371.372	21.5	371.372	19	371.372	19.28	371.372	20.17	
371.739	17.83	371.739	14.22	371.739	18.5	371.739	14	371.739	17.28	371.739	20.17	
372.106	17.83	372.106	14.22	372.106	15.5	372.106	18	372.106	17.28	372.106	18.17	
372.473	16.83	372.473	16.22	372.473	18.5	372.473	14	372.473	18.28	372.473	18.17	
372.84	19.83	372.84	18.22	372.84	18.5	372.84	16	372.84	10.28	372.84	19.17	
373.207	18.83	373.207	9.22	373.207	16.5	373.207	15	373.207	16.28	373.207	20.17	
373.574	20.83	373.574	18.22	373.574	21.5	373.574	18	373.574	21.28	373.574	19.17	
373.941	19.83	373.941	17.22	373.941	15.5	373.941	21	373.941	15.28	373.941	17.17	
374.308	16.83	374.308	17.22	374.308	13.5	374.308	18	374.308	18.28	374.308	14.17	
374.675	16.83	374.675	15.22	374.675	19.5	374.675	24	374.675	19.28	374.675	18.17	
375.042	12.83	375.042	11.22	375.042	18.5	375.042	16	375.042	18.28	375.042	16.17	
375.409	9.83	375.409	17.22	375.409	17.5	375.409	17	375.409	14.28	375.409	15.17	
375.776	17.83	375.776	13.22	375.776	15.5	375.776	19	375.776	17.28	375.776	15.17	
376.142	11.83	376.142	18.22	376.142	21.5	376.142	16	376.142	16.28	376.142	20.17	
376.509	11.83	376.509	14.22	376.509	23.5	376.509	14	376.509	17.28	376.509	14.17	
376.876	16.83	376.876	18.22	376.876	20.5	376.876	15	376.876	17.28	376.876	21.17	
377.242	18.83	377.242	19.22	377.242	19.5	377.242	17	377.242	19.28	377.242	19.17	
377.609	19.83	377.609	17.22	377.609	20.5	377.609	23	377.609	19.28	377.609	14.17	
377.976	19.83	377.976	15.22	377.976	19.5	377.976	22	377.976	16.28	377.976	19.17	
378.342	18.83	378.342	17.22	378.342	23.5	378.342	16	378.342	21.28	378.342	19.17	
378.709	18.83	378.709	18.22	378.709	22.5	378.709	17	378.709	18.28	378.709	18.17	
379.075	14.83	379.075	18.22	379.075	16.5	379.075	16	379.075	20.28	379.075	20.17	
379.442	17.83	379.442	13.22	379.442	18.5	379.442	21	379.442	19.28	379.442	22.17	
379.808	19.83	379.808	21.22	379.808	20.5	379.808	18	379.808	17.28	379.808	21.17	
380.175	19.83	380.175	13.22	380.175	13.5	380.175	21	380.175	19.28	380.175	20.17	
380.541	19.83	380.541	21.22	380.541	20.5	380.541	19	380.541	18.28	380.541	18.17	
380.908	18.83	380.908	12.22	380.908	19.5	380.908	19	380.908	18.28	380.908	16.17	
381.274	19.83	381.274	21.22	381.274	18.5	381.274	23	381.274	16.28	381.274	19.17	
381.64	16.83	381.64	13.22	381.64	14.5	381.64	17	381.64	18.28	381.64	15.17	
382.007	14.83	382.007	17.22	382.007	22.5	382.007	20	382.007	20.28	382.007	17.17	
382.373	18.83	382.373	19.22	382.373	17.5	382.373	19	382.373	18.28	382.373	16.17	
382.739	18.83	382.739	22.22	382.739	20.5	382.739	21	382.739	14.28	382.739	18.17	
383.105	21.83	383.105	16.22	383.105	21.5	383.105	16	383.105	17.28	383.105	18.17	
383.472	17.83	383.472	19.22	383.472	16.5	383.472	15	383.472	23.28	383.472	18.17	
383.838	17.83	383.838	21.22	383.838	19.5	383.838	19	383.838	18.28	383.838	18.17	
384.204	20.83	384.204	19.22	384.204	18.5	384.204	14	384.204	16.28	384.204	22.17	
384.57	19.83	384.57	16.22	384.57	21.5	384.57	20	384.57	17.28	384.57	15.17	
384.936	19.83	384.936	22.22	384.936	16.5	384.936	24	384.936	18.28	384.936	19.17	
385.302	21.83	385.302	16.22	385.302	17.5	385.302	23	385.302	20.28	385.302	22.17	
385.668	17.83	385.668	16.22	385.668	17.5	385.668	20	385.668	16.28	385.668	15.17	
386.034	19.83	386.034	21.22	386.034	22.5	386.034	17	386.034	20.28	386.034	21.17	
