USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
368.067	18.11	368.067	18.5	368.067	19.11	368.067	19.28	368.067	18.5	
368.434	21.11	368.434	18.5	368.434	16.11	368.434	19.28	368.434	20.5	
368.801	17.11	368.801	17.5	368.801	15.11	368.801	15.28	368.801	15.5	
369.169	17.11	369.169	21.5	369.169	19.11	369.169	17.28	369.169	18.5	
369.536	15.11	369.536	14.5	369.536	16.11	369.536	20.28	369.536	18.5	
369.903	19.11	369.903	16.5	369.903	16.11	369.903	20.28	369.903	19.5	
370.271	17.11	370.271	17.5	370.271	22.11	370.271	21.28	370.271	22.5	
370.638	16.11	370.638	17.5	370.638	17.11	370.638	22.28	370.638	19.5	
371.005	20.11	371.005	19.5	371.005	20.11	371.005	18.28	371.005	18.5	
371.372	20.11	371.372	19.5	371.372	20.11	371.372	22.28	371.372	24.5	
371.739	16.11	371.739	15.5	371.739	16.11	371.739	19.28	371.739	14.5	
372.106	19.11	372.106	16.5	372.106	14.11	372.106	15.28	372.106	19.5	
372.473	19.11	372.473	18.5	372.473	18.11	372.473	20.28	372.473	18.5	
372.84	15.11	372.84	15.5	372.84	23.11	372.84	16.28	372.84	20.5	
373.207	22.11	373.207	16.5	373.207	16.11	373.207	14.28	373.207	15.5	
373.574	17.11	373.574	21.5	373.574	18.11	373.574	16.28	373.574	16.5	
373.941	16.11	373.941	15.5	373.941	17.11	373.941	12.28	373.941	15.5	
374.308	15.11	374.308	17.5	374.308	15.11	374.308	12.28	374.308	18.5	
374.675	15.11	374.675	17.5	374.675	19.11	374.675	15.28	374.675	20.5	
375.042	17.11	375.042	15.5	375.042	17.11	375.042	16.28	375.042	15.5	
375.409	21.11	375.409	21.5	375.409	17.11	375.409	16.28	375.409	20.5	
375.776	16.11	375.776	15.5	375.776	18.11	375.776	17.28	375.776	15.5	
376.142	18.11	376.142	13.5	376.142	14.11	376.142	14.28	376.142	22.5	
376.509	18.11	376.509	16.5	376.509	21.11	376.509	20.28	376.509	16.5	
376.876	19.11	376.876	18.5	376.876	13.11	376.876	16.28	376.876	19.5	
377.242	19.11	377.242	18.5	377.242	16.11	377.242	16.28	377.242	15.5	
377.609	15.11	377.609	18.5	377.609	16.11	377.609	21.28	377.609	18.5	
377.976	17.11	377.976	16.5	377.976	22.11	377.976	18.28	377.976	15.5	
378.342	17.11	378.342	16.5	378.342	18.11	378.342	19.28	378.342	18.5	
378.709	18.11	378.709	14.5	378.709	26.11	378.709	21.28	378.709	20.5	
379.075	19.11	379.075	12.5	379.075	18.11	379.075	19.28	379.075	15.5	
379.442	19.11	379.442	23.5	379.442	22.11	379.442	19.28	379.442	15.5	
379.808	19.11	379.808	15.5	379.808	15.11	379.808	17.28	379.808	17.5	
380.175	17.11	380.175	22.5	380.175	18.11	380.175	13.28	380.175	22.5	
380.541	23.11	380.541	16.5	380.541	20.11	380.541	21.28	380.541	24.5	
380.908	20.11	380.908	19.5	380.908	18.11	380.908	15.28	380.908	19.5	
381.274	17.11	381.274	22.5	381.274	19.11	381.274	20.28	381.274	18.5	
381.64	19.11	381.64	15.5	381.64	21.11	381.64	17.28	381.64	20.5	
382.007	13.11	382.007	16.5	382.007	19.11	382.007	14.28	382.007	21.5	
382.373	18.11	382.373	16.5	382.373	15.11	382.373	16.28	382.373	19.5	
382.739	16.11	382.739	20.5	382.739	16.11	382.739	17.28	382.739	22.5	
383.105	18.11	383.105	19.5	383.105	24.11	383.105	18.28	383.105	17.5	
383.472	21.11	383.472	22.5	383.472	19.11	383.472	20.28	383.472	21.5	
383.838	20.11	383.838	18.5	383.838	21.11	383.838	17.28	383.838	21.5	
384.204	21.11	384.204	17.5	384.204	17.11	384.204	16.28	384.204	18.5	
384.57	19.11	384.57	19.5	384.57	15.11	384.57	17.28	384.57	17.5	
384.936	20.11	384.936	15.5	384.936	21.11	384.936	20.28	384.936	13.5	
385.302	16.11	385.302	23.5	385.302	18.11	385.302	20.28	385.302	18.5	
385.668	20.11	385.668	14.5	385.668	15.11	385.668	20.28	385.668	17.5	
386.034	16.11	386.034	16.5	386.034	23.11	386.034	18.28	386.034	20.5	
386.4	19.11	386.4	20.5	386.4	17.11	386.4	17.28	386.4	27.5	
386.766	25.11	386.766	14.5	386.766	19.11	386.766	18.28	386.766	20.5	
387.132	15.11	387.132	20.5	387.132	19.11	387.132	17.28	387.132	20.5	
387.498	22.11	387.498	15.5	387.498	23.11	387.498	20.28	387.498	22.5	
387.864	15.11	387.864	14.5	387.864	20.11	387.864	19.28	387.864	19.5	
388.229	17.11	388.229	21.5	388.229	18.11	388.229	21.28	388.229	15.5	
388.595	13.11	388.595	12.5	388.595	16.11	388.595	23.28	388.595	19.5	
388.961	9.11	388.961	21.5	388.961	20.11	388.961	14.28	388.961	18.5	
389.327	19.11	389.327	20.5	389.327	21.11	389.327	21.28	389.327	17.5	
389.692	19.11	389.692	17.5	389.692	17.11	389.692	18.28	389.692	25.5	
390.058	23.11	390.058	17.5	390.058	19.11	390.058	19.28	390.058	19.5	
390.424	21.11	390.424	21.5	390.424	22.11	390.424	16.28	390.424	22.5	
390.789	23.11	390.789	17.5	390.789	21.11	390.789	16.28	390.789	17.5	
391.155	21.11	391.155	23.5	391.155	21.11	391.155	22.28	391.155	23.5	
391.52	22.11	391.52	13.5	391.52	20.11	391.52	18.28	391.52	17.5	
391.886	20.11	391.886	17.5	391.886	22.11	391.886	21.28	391.886	20.5	
392.251	19.11	392.251	18.5	392.251	18.11	392.251	14.28	392.251	21.5	
392.617	22.11	392.617	18.5	392.617	19.11	392.617	19.28	392.617	22.5	
392.982	20.11	392.982	19.5	392.982	19.11	392.982	17.28	392.982	19.5	
393.348	16.11	393.348	17.5	393.348	20.11	393.348	13.28	393.348	19.5	
