USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
462.58	322.11	462.58	328.5	462.58	318.11	462.58	356.28	462.58	344.5	
462.94	338.11	462.94	317.5	462.94	309.11	462.94	356.28	462.94	336.5	
463.299	338.11	463.299	335.5	463.299	327.11	463.299	366.28	463.299	348.5	
463.659	325.11	463.659	324.5	463.659	324.11	463.659	371.28	463.659	350.5	
464.018	327.11	464.018	340.5	464.018	330.11	464.018	368.28	464.018	355.5	
464.377	336.11	464.377	340.5	464.377	328.11	464.377	377.28	464.377	354.5	
464.737	343.11	464.737	347.5	464.737	329.11	464.737	378.28	464.737	359.5	
465.096	356.11	465.096	342.5	465.096	331.11	465.096	390.28	465.096	367.5	
465.455	358.11	465.455	357.5	465.455	337.11	465.455	390.28	465.455	376.5	
465.814	355.11	465.814	362.5	465.814	346.11	465.814	385.28	465.814	375.5	
466.174	346.11	466.174	371.5	466.174	344.11	466.174	388.28	466.174	373.5	
466.533	352.11	466.533	355.5	466.533	352.11	466.533	393.28	466.533	381.5	
466.892	361.11	466.892	364.5	466.892	344.11	466.892	399.28	466.892	380.5	
467.251	371.11	467.251	364.5	467.251	358.11	467.251	397.28	467.251	387.5	
467.61	365.11	467.61	371.5	467.61	356.11	467.61	403.28	467.61	380.5	
467.969	378.11	467.969	381.5	467.969	367.11	467.969	415.28	467.969	394.5	
468.328	372.11	468.328	361.5	468.328	362.11	468.328	420.28	468.328	391.5	
468.687	391.11	468.687	372.5	468.687	364.11	468.687	414.28	468.687	402.5	
469.046	396.11	469.046	389.5	469.046	375.11	469.046	425.28	469.046	403.5	
469.405	377.11	469.405	383.5	469.405	371.11	469.405	421.28	469.405	400.5	
469.764	381.11	469.764	399.5	469.764	381.11	469.764	419.28	469.764	406.5	
470.122	389.11	470.122	388.5	470.122	377.11	470.122	425.28	470.122	414.5	
470.481	389.11	470.481	395.5	470.481	369.11	470.481	432.28	470.481	408.5	
470.84	403.11	470.84	388.5	470.84	371.11	470.84	453.28	470.84	410.5	
471.199	398.11	471.199	395.5	471.199	380.11	471.199	441.28	471.199	410.5	
471.557	395.11	471.557	391.5	471.557	390.11	471.557	441.28	471.557	429.5	
471.916	404.11	471.916	403.5	471.916	383.11	471.916	457.28	471.916	431.5	
472.275	415.11	472.275	410.5	472.275	399.11	472.275	449.28	472.275	451.5	
472.633	409.11	472.633	419.5	472.633	390.11	472.633	467.28	472.633	425.5	
472.992	414.11	472.992	418.5	472.992	405.11	472.992	454.28	472.992	437.5	
473.35	428.11	473.35	418.5	473.35	399.11	473.35	470.28	473.35	437.5	
473.709	429.11	473.709	428.5	473.709	411.11	473.709	465.28	473.709	445.5	
474.067	438.11	474.067	442.5	474.067	415.11	474.067	484.28	474.067	455.5	
474.426	429.11	474.426	433.5	474.426	411.11	474.426	488.28	474.426	465.5	
474.784	454.11	474.784	446.5	474.784	431.11	474.784	483.28	474.784	471.5	
475.143	443.11	475.143	447.5	475.143	450.11	475.143	487.28	475.143	465.5	
475.501	448.11	475.501	449.5	475.501	437.11	475.501	493.28	475.501	472.5	
475.859	460.11	475.859	449.5	475.859	438.11	475.859	515.28	475.859	482.5	
476.218	449.11	476.218	464.5	476.218	452.11	476.218	513.28	476.218	493.5	
476.576	462.11	476.576	471.5	476.576	444.11	476.576	513.28	476.576	488.5	
476.934	469.11	476.934	470.5	476.934	456.11	476.934	528.28	476.934	496.5	
477.292	474.11	477.292	482.5	477.292	470.11	477.292	533.28	477.292	504.5	
477.65	492.11	477.65	470.5	477.65	468.11	477.65	522.28	477.65	512.5	
478.008	487.11	478.008	483.5	478.008	465.11	478.008	536.28	478.008	515.5	
478.367	476.11	478.367	494.5	478.367	476.11	478.367	546.28	478.367	519.5	
478.725	499.11	478.725	502.5	478.725	468.11	478.725	549.28	478.725	524.5	
479.083	496.11	479.083	503.5	479.083	482.11	479.083	545.28	479.083	536.5	
479.441	511.11	479.441	518.5	479.441	497.11	479.441	567.28	479.441	524.5	
479.799	521.11	479.799	518.5	479.799	504.11	479.799	566.28	479.799	537.5	
480.156	526.11	480.156	527.5	480.156	504.11	480.156	581.28	480.156	536.5	
480.514	519.11	480.514	524.5	480.514	502.11	480.514	585.28	480.514	548.5	
480.872	526.11	480.872	538.5	480.872	509.11	480.872	586.28	480.872	550.5	
481.23	533.11	481.23	529.5	481.23	510.11	481.23	583.28	481.23	569.5	
481.588	539.11	481.588	540.5	481.588	525.11	481.588	602.28	481.588	571.5	
481.946	540.11	481.946	563.5	481.946	538.11	481.946	605.28	481.946	572.5	
482.303	554.11	482.303	545.5	482.303	535.11	482.303	608.28	482.303	590.5	
482.661	576.11	482.661	562.5	482.661	547.11	482.661	620.28	482.661	600.5	
483.019	569.11	483.019	568.5	483.019	545.11	483.019	617.28	483.019	594.5	
483.376	564.11	483.376	565.5	483.376	558.11	483.376	633.28	483.376	619.5	
483.734	582.11	483.734	581.5	483.734	569.11	483.734	654.28	483.734	621.5	
484.091	582.11	484.091	601.5	484.091	566.11	484.091	651.28	484.091	629.5	
484.449	593.11	484.449	603.5	484.449	574.11	484.449	660.28	484.449	624.5	
484.806	613.11	484.806	603.5	484.806	586.11	484.806	687.28	484.806	640.5	
485.164	609.11	485.164	607.5	485.164	596.11	485.164	679.28	485.164	648.5	
485.521	628.11	485.521	614.5	485.521	601.11	485.521	686.28	485.521	650.5	
485.879	637.11	485.879	628.5	485.879	598.11	485.879	691.28	485.879	648.5	
486.236	626.11	486.236	621.5	486.236	607.11	486.236	718.28	486.236	662.5	
486.593	645.11	486.593	644.5	486.593	616.11	486.593	697.28	486.593	667.5	
486.951	653.11	486.951	652.5	486.951	633.11	486.951	712.28	486.951	669.5	
487.308	649.11	487.308	659.5	487.308	644.11	487.308	726.28	487.308	696.5	
487.665	662.11	487.665	665.5	487.665	654.11	487.665	740.28	487.665	700.5	
488.022	661.11	488.022	663.5	488.022	655.11	488.022	744.28	488.022	698.5	
488.38	673.11	488.38	667.5	488.38	651.11	488.38	745.28	488.38	722.5	
488.737	690.11	488.737	693.5	488.737	660.11	488.737	759.28	488.737	722.5	
489.094	703.11	489.094	696.5	489.094	667.11	489.094	775.28	489.094	713.5	
489.451	690.11	489.451	689.5	489.451	665.11	489.451	772.28	489.451	726.5	
489.808	693.11	489.808	708.5	489.808	689.11	489.808	780.28	489.808	728.5	
490.165	721.11	490.165	706.5	490.165	675.11	490.165	793.28	490.165	738.5	
490.522	720.11	490.522	710.5	490.522	687.11	490.522	791.28	490.522	753.5	
490.879	717.11	490.879	727.5	490.879	700.11	490.879	813.28	490.879	756.5	
491.236	734.11	491.236	727.5	491.236	697.11	491.236	804.28	491.236	754.5	
491.592	726.11	491.592	740.5	491.592	702.11	491.592	821.28	491.592	769.5	
491.949	746.11	491.949	749.5	491.949	726.11	491.949	829.28	491.949	784.5	
492.306	754.11	492.306	765.5	492.306	718.11	492.306	840.28	492.306	800.5	
492.663	779.11	492.663	764.5	492.663	734.11	492.663	852.28	492.663	784.5	
493.02	753.11	493.02	774.5	493.02	748.11	493.02	844.28	493.02	802.5	
493.376	788.11	493.376	784.5	493.376	744.11	493.376	853.28	493.376	808.5	
493.733	780.11	493.733	772.5	493.733	740.11	493.733	856.28	493.733	819.5	
494.09	784.11	494.09	777.5	494.09	758.11	494.09	882.28	494.09	814.5	
494.446	805.11	494.446	786.5	494.446	772.11	494.446	878.28	494.446	831.5	
494.803	798.11	494.803	799.5	494.803	776.11	494.803	886.28	494.803	829.5	
495.159	817.11	495.159	800.5	495.159	776.11	495.159	887.28	495.159	835.5	
495.516	808.11	495.516	799.5	495.516	790.11	495.516	910.28	495.516	846.5	
495.872	805.11	495.872	801.5	495.872	789.11	495.872	908.28	495.872	845.5	
496.229	813.11	496.229	833.5	496.229	800.11	496.229	920.28	496.229	859.5	
496.585	836.11	496.585	825.5	496.585	796.11	496.585	917.28	496.585	866.5	
496.941	827.11	496.941	845.5	496.941	811.11	496.941	910.28	496.941	869.5	
497.298	830.11	497.298	855.5	497.298	814.11	497.298	925.28	497.298	892.5	
497.654	833.11	497.654	825.5	497.654	809.11	497.654	931.28	497.654	876.5	
498.01	851.11	498.01	849.5	498.01	822.11	498.01	942.28	498.01	879.5	
498.367	856.11	498.367	850.5	498.367	831.11	498.367	962.28	498.367	894.5	
498.723	862.11	498.723	847.5	498.723	829.11	498.723	927.28	498.723	891.5	
499.079	847.11	499.079	845.5	499.079	832.11	499.079	962.28	499.079	908.5	
499.435	851.11	499.435	853.5	499.435	834.11	499.435	959.28	499.435	909.5	
499.791	880.11	499.791	867.5	499.791	846.11	499.791	957.28	499.791	910.5	
500.147	865.11	500.147	863.5	500.147	842.11	500.147	993.28	500.147	920.5	
500.503	878.11	500.503	869.5	500.503	846.11	500.503	973.28	500.503	928.5	
500.859	877.11	500.859	872.5	500.859	841.11	500.859	960.28	500.859	926.5	
501.215	878.11	501.215	886.5	501.215	847.11	501.215	998.28	501.215	939.5	
501.571	891.11	501.571	897.5	501.571	869.11	501.571	987.28	501.571	930.5	
501.927	895.11	501.927	903.5	501.927	859.11	501.927	984.28	501.927	935.5	
502.283	885.11	502.283	909.5	502.283	858.11	502.283	1020.28	502.283	941.5	
502.639	899.11	502.639	893.5	502.639	879.11	502.639	986.28	502.639	945.5	
502.995	916.11	502.995	912.5	502.995	885.11	502.995	1013.28	502.995	950.5	
503.35	915.11	503.35	923.5	503.35	874.11	503.35	1007.28	503.35	960.5	
503.706	916.11	503.706	917.5	503.706	873.11	503.706	1022.28	503.706	971.5	
504.062	929.11	504.062	934.5	504.062	884.11	504.062	997.28	504.062	963.5	
504.417	937.11	504.417	930.5	504.417	901.11	504.417	1032.28	504.417	976.5	
504.773	930.11	504.773	928.5	504.773	895.11	504.773	1045.28	504.773	972.5	
505.129	950.11	505.129	936.5	505.129	924.11	505.129	1019.28	505.129	965.5	
505.484	948.11	505.484	930.5	505.484	919.11	505.484	1044.28	505.484	998.5	
505.84	940.11	505.84	940.5	505.84	902.11	505.84	1055.28	505.84	978.5	
506.195	951.11	506.195	946.5	506.195	915.11	506.195	1052.28	506.195	989.5	
506.551	964.11	506.551	952.5	506.551	927.11	506.551	1049.28	506.551	978.5	
506.906	943.11	506.906	957.5	506.906	914.11	506.906	1047.28	506.906	1010.5	
507.261	957.11	507.261	960.5	507.261	917.11	507.261	1050.28	507.261	979.5	
507.617	972.11	507.617	944.5	507.617	924.11	507.617	1063.28	507.617	998.5	
507.972	958.11	507.972	973.5	507.972	927.11	507.972	1062.28	507.972	1014.5	
508.327	954.11	508.327	961.5	508.327	925.11	508.327	1068.28	508.327	1001.5	
508.683	962.11	508.683	974.5	508.683	940.11	508.683	1071.28	508.683	1020.5	
509.038	980.11	509.038	975.5	509.038	918.11	509.038	1086.28	509.038	1029.5	
509.393	980.11	509.393	991.5	509.393	945.11	509.393	1082.28	509.393	1029.5	
509.748	972.11	509.748	989.5	509.748	944.11	509.748	1077.28	509.748	1035.5	
510.103	985.11	510.103	984.5	510.103	949.11	510.103	1086.28	510.103	1012.5	
510.458	978.11	510.458	969.5	510.458	939.11	510.458	1082.28	510.458	1031.5	
510.814	987.11	510.814	979.5	510.814	945.11	510.814	1084.28	510.814	1011.5	
511.169	963.11	511.169	973.5	511.169	947.11	511.169	1082.28	511.169	1019.5	
511.524	990.11	511.524	989.5	511.524	937.11	511.524	1102.28	511.524	1012.5	
511.878	977.11	511.878	973.5	511.878	967.11	511.878	1111.28	511.878	1023.5	
512.233	988.11	512.233	1004.5	512.233	956.11	512.233	1088.28	512.233	1038.5	
512.588	994.11	512.588	987.5	512.588	946.11	512.588	1111.28	512.588	1024.5	
512.943	1001.11	512.943	982.5	512.943	968.11	512.943	1088.28	512.943	1048.5	
513.298	993.11	513.298	999.5	513.298	952.11	513.298	1083.28	513.298	1036.5	
513.653	994.11	513.653	991.5	513.653	963.11	513.653	1089.28	513.653	1053.5	
514.007	991.11	514.007	1016.5	514.007	960.11	514.007	1102.28	514.007	1040.5	
514.362	993.11	514.362	1008.5	514.362	965.11	514.362	1100.28	514.362	1050.5	
514.717	999.11	514.717	997.5	514.717	974.11	514.717	1091.28	514.717	1044.5	
515.072	989.11	515.072	999.5	515.072	965.11	515.072	1102.28	515.072	1053.5	
515.426	987.11	515.426	1004.5	515.426	957.11	515.426	1109.28	515.426	1058.5	
515.781	989.11	515.781	1015.5	515.781	958.11	515.781	1104.28	515.781	1050.5	
516.135	1000.11	516.135	1009.5	516.135	962.11	516.135	1134.28	516.135	1032.5	
516.49	1010.11	516.49	1004.5	516.49	976.11	516.49	1140.28	516.49	1060.5	
516.844	1012.11	516.844	1014.5	516.844	967.11	516.844	1147.28	516.844	1069.5	
517.199	1011.11	517.199	1010.5	517.199	974.11	517.199	1135.28	517.199	1067.5	
517.553	1016.11	517.553	1018.5	517.553	990.11	517.553	1132.28	517.553	1069.5	
517.907	1028.11	517.907	1003.5	517.907	978.11	517.907	1134.28	517.907	1084.5	
518.262	1029.11	518.262	1026.5	518.262	995.11	518.262	1162.28	518.262	1073.5	
518.616	1027.11	518.616	1028.5	518.616	1000.11	518.616	1161.28	518.616	1096.5	
518.97	1040.11	518.97	1026.5	518.97	1002.11	518.97	1145.28	518.97	1071.5	
519.325	1033.11	519.325	1042.5	519.325	1004.11	519.325	1149.28	519.325	1091.5	
519.679	1052.11	519.679	1057.5	519.679	1011.11	519.679	1160.28	519.679	1097.5	
520.033	1047.11	520.033	1055.5	520.033	1027.11	520.033	1163.28	520.033	1088.5	
520.387	1033.11	520.387	1051.5	520.387	1019.11	520.387	1165.28	520.387	1103.5	
520.741	1051.11	520.741	1065.5	520.741	1025.11	520.741	1171.28	520.741	1105.5	
521.095	1069.11	521.095	1057.5	521.095	1014.11	521.095	1176.28	521.095	1120.5	
521.449	1080.11	521.449	1073.5	521.449	1020.11	521.449	1200.28	521.449	1114.5	
521.803	1069.11	521.803	1067.5	521.803	1041.11	521.803	1213.28	521.803	1127.5	
522.157	1070.11	522.157	1059.5	522.157	1032.11	522.157	1203.28	522.157	1126.5	
522.511	1055.11	522.511	1074.5	522.511	1048.11	522.511	1219.28	522.511	1144.5	
522.865	1075.11	522.865	1069.5	522.865	1062.11	522.865	1216.28	522.865	1145.5	
523.219	1102.11	523.219	1074.5	523.219	1046.11	523.219	1210.28	523.219	1153.5	
523.573	1097.11	523.573	1099.5	523.573	1058.11	523.573	1217.28	523.573	1138.5	
523.927	1109.11	523.927	1099.5	523.927	1056.11	523.927	1214.28	523.927	1150.5	
524.28	1125.11	524.28	1107.5	524.28	1064.11	524.28	1228.28	524.28	1146.5	
524.634	1111.11	524.634	1121.5	524.634	1081.11	524.634	1243.28	524.634	1165.5	
524.988	1112.11	524.988	1111.5	524.988	1082.11	524.988	1257.28	524.988	1166.5	
525.341	1137.11	525.341	1137.5	525.341	1093.11	525.341	1255.28	525.341	1177.5	
525.695	1133.11	525.695	1118.5	525.695	1083.11	525.695	1257.28	525.695	1184.5	
526.049	1120.11	526.049	1124.5	526.049	1101.11	526.049	1263.28	526.049	1179.5	
526.402	1118.11	526.402	1134.5	526.402	1088.11	526.402	1263.28	526.402	1188.5	
526.756	1160.11	526.756	1159.5	526.756	1117.11	526.756	1274.28	526.756	1225.5	
527.109	1153.11	527.109	1123.5	527.109	1113.11	527.109	1290.28	527.109	1231.5	
527.463	1166.11	527.463	1145.5	527.463	1122.11	527.463	1292.28	527.463	1218.5	
527.816	1159.11	527.816	1173.5	527.816	1121.11	527.816	1286.28	527.816	1219.5	
528.169	1164.11	528.169	1165.5	528.169	1127.11	528.169	1305.28	528.169	1227.5	
528.523	1160.11	528.523	1160.5	528.523	1122.11	528.523	1310.28	528.523	1210.5	
528.876	1169.11	528.876	1179.5	528.876	1139.11	528.876	1337.28	528.876	1210.5	
529.229	1182.11	529.229	1195.5	529.229	1147.11	529.229	1319.28	529.229	1258.5	
529.583	1176.11	529.583	1180.5	529.583	1150.11	529.583	1348.28	529.583	1247.5	
529.936	1187.11	529.936	1201.5	529.936	1162.11	529.936	1310.28	529.936	1263.5	
530.289	1203.11	530.289	1210.5	530.289	1163.11	530.289	1351.28	530.289	1259.5	
530.642	1218.11	530.642	1215.5	530.642	1151.11	530.642	1327.28	530.642	1254.5	
530.995	1209.11	530.995	1215.5	530.995	1175.11	530.995	1362.28	530.995	1303.5	
531.348	1237.11	531.348	1226.5	531.348	1178.11	531.348	1369.28	531.348	1270.5	
531.701	1229.11	531.701	1231.5	531.701	1188.11	531.701	1381.28	531.701	1285.5	
532.054	1225.11	532.054	1223.5	532.054	1198.11	532.054	1377.28	532.054	1298.5	
532.407	1252.11	532.407	1254.5	532.407	1208.11	532.407	1389.28	532.407	1295.5	
532.76	1248.11	532.76	1285.5	532.76	1218.11	532.76	1401.28	532.76	1303.5	
533.113	1244.11	533.113	1251.5	533.113	1216.11	533.113	1401.28	533.113	1322.5	
533.466	1279.11	533.466	1290.5	533.466	1237.11	533.466	1430.28	533.466	1340.5	
533.819	1293.11	533.819	1266.5	533.819	1238.11	533.819	1427.28	533.819	1320.5	
534.171	1276.11	534.171	1315.5	534.171	1245.11	534.171	1435.28	534.171	1357.5	
534.524	1301.11	534.524	1286.5	534.524	1251.11	534.524	1450.28	534.524	1348.5	
534.877	1294.11	534.877	1328.5	534.877	1242.11	534.877	1436.28	534.877	1340.5	
535.23	1323.11	535.23	1304.5	535.23	1247.11	535.23	1462.28	535.23	1390.5	
535.582	1293.11	535.582	1300.5	535.582	1272.11	535.582	1470.28	535.582	1353.5	
535.935	1332.11	535.935	1335.5	535.935	1273.11	535.935	1494.28	535.935	1395.5	
536.287	1330.11	536.287	1338.5	536.287	1303.11	536.287	1473.28	536.287	1407.5	
536.64	1332.11	536.64	1345.5	536.64	1283.11	536.64	1487.28	536.64	1390.5	
536.993	1351.11	536.993	1344.5	536.993	1322.11	536.993	1516.28	536.993	1403.5	
537.345	1347.11	537.345	1338.5	537.345	1302.11	537.345	1523.28	537.345	1408.5	
537.697	1352.11	537.697	1357.5	537.697	1303.11	537.697	1519.28	537.697	1410.5	
538.05	1362.11	538.05	1363.5	538.05	1320.11	538.05	1513.28	538.05	1428.5	
538.402	1352.11	538.402	1363.5	538.402	1351.11	538.402	1539.28	538.402	1429.5	
538.755	1383.11	538.755	1373.5	538.755	1310.11	538.755	1536.28	538.755	1428.5	
539.107	1380.11	539.107	1399.5	539.107	1350.11	539.107	1529.28	539.107	1450.5	
539.459	1391.11	539.459	1378.5	539.459	1326.11	539.459	1538.28	539.459	1430.5	
539.811	1390.11	539.811	1401.5	539.811	1335.11	539.811	1553.28	539.811	1479.5	
540.164	1381.11	540.164	1384.5	540.164	1345.11	540.164	1555.28	540.164	1462.5	
540.516	1382.11	540.516	1377.5	540.516	1351.11	540.516	1567.28	540.516	1458.5	
540.868	1388.11	540.868	1396.5	540.868	1347.11	540.868	1567.28	540.868	1470.5	
541.22	1412.11	541.22	1412.5	541.22	1356.11	541.22	1572.28	541.22	1457.5	
541.572	1395.11	541.572	1390.5	541.572	1361.11	541.572	1599.28	541.572	1462.5	
541.924	1437.11	541.924	1415.5	541.924	1363.11	541.924	1585.28	541.924	1455.5	
542.276	1418.11	542.276	1416.5	542.276	1370.11	542.276	1592.28	542.276	1484.5	
542.628	1401.11	542.628	1415.5	542.628	1379.11	542.628	1585.28	542.628	1491.5	
542.98	1423.11	542.98	1411.5	542.98	1382.11	542.98	1586.28	542.98	1494.5	
543.332	1454.11	543.332	1447.5	543.332	1391.11	543.332	1605.28	543.332	1502.5	
543.684	1416.11	543.684	1432.5	543.684	1383.11	543.684	1608.28	543.684	1483.5	
544.035	1436.11	544.035	1445.5	544.035	1381.11	544.035	1608.28	544.035	1511.5	
544.387	1451.11	544.387	1418.5	544.387	1385.11	544.387	1606.28	544.387	1499.5	
544.739	1449.11	544.739	1430.5	544.739	1408.11	544.739	1617.28	544.739	1497.5	
545.091	1444.11	545.091	1446.5	545.091	1392.11	545.091	1617.28	545.091	1482.5	
545.442	1443.11	545.442	1433.5	545.442	1393.11	545.442	1595.28	545.442	1504.5	
545.794	1459.11	545.794	1460.5	545.794	1404.11	545.794	1630.28	545.794	1499.5	
546.145	1453.11	546.145	1447.5	546.145	1401.11	546.145	1640.28	546.145	1517.5	
546.497	1427.11	546.497	1433.5	546.497	1374.11	546.497	1604.28	546.497	1479.5	
546.849	1451.11	546.849	1442.5	546.849	1402.11	546.849	1594.28	546.849	1524.5	
547.2	1440.11	547.2	1437.5	547.2	1386.11	547.2	1612.28	547.2	1509.5	
547.552	1460.11	547.552	1463.5	547.552	1399.11	547.552	1633.28	547.552	1495.5	
547.903	1437.11	547.903	1457.5	547.903	1418.11	547.903	1630.28	547.903	1520.5	
548.254	1470.11	548.254	1465.5	548.254	1409.11	548.254	1621.28	548.254	1507.5	
548.606	1453.11	548.606	1475.5	548.606	1420.11	548.606	1643.28	548.606	1530.5	
548.957	1444.11	548.957	1466.5	548.957	1410.11	548.957	1653.28	548.957	1522.5	
549.308	1478.11	549.308	1467.5	549.308	1409.11	549.308	1632.28	549.308	1521.5	
549.66	1435.11	549.66	1442.5	549.66	1412.11	549.66	1617.28	549.66	1526.5	
550.011	1476.11	550.011	1471.5	550.011	1429.11	550.011	1647.28	550.011	1521.5	
550.362	1482.11	550.362	1474.5	550.362	1403.11	550.362	1623.28	550.362	1517.5	
550.713	1491.11	550.713	1450.5	550.713	1421.11	550.713	1630.28	550.713	1531.5	
551.064	1443.11	551.064	1459.5	551.064	1410.11	551.064	1630.28	551.064	1546.5	
551.415	1466.11	551.415	1453.5	551.415	1423.11	551.415	1619.28	551.415	1520.5	
551.766	1489.11	551.766	1482.5	551.766	1440.11	551.766	1643.28	551.766	1524.5	
552.117	1474.11	552.117	1463.5	552.117	1428.11	552.117	1644.28	552.117	1525.5	
552.468	1464.11	552.468	1457.5	552.468	1414.11	552.468	1618.28	552.468	1513.5	
552.819	1480.11	552.819	1451.5	552.819	1426.11	552.819	1622.28	552.819	1522.5	
553.17	1468.11	553.17	1464.5	553.17	1409.11	553.17	1648.28	553.17	1535.5	
553.521	1455.11	553.521	1460.5	553.521	1401.11	553.521	1627.28	553.521	1525.5	
553.872	1463.11	553.872	1454.5	553.872	1414.11	553.872	1642.28	553.872	1517.5	
554.223	1435.11	554.223	1466.5	554.223	1428.11	554.223	1613.28	554.223	1528.5	
554.573	1468.11	554.573	1452.5	554.573	1403.11	554.573	1591.28	554.573	1512.5	
554.924	1442.11	554.924	1454.5	554.924	1414.11	554.924	1617.28	554.924	1511.5	
555.275	1464.11	555.275	1472.5	555.275	1428.11	555.275	1634.28	555.275	1506.5	
555.625	1464.11	555.625	1432.5	555.625	1404.11	555.625	1631.28	555.625	1511.5	
555.976	1438.11	555.976	1432.5	555.976	1389.11	555.976	1611.28	555.976	1463.5	
556.326	1445.11	556.326	1448.5	556.326	1411.11	556.326	1617.28	556.326	1516.5	
556.677	1450.11	556.677	1468.5	556.677	1407.11	556.677	1609.28	556.677	1523.5	
557.028	1455.11	557.028	1443.5	557.028	1404.11	557.028	1625.28	557.028	1505.5	
557.378	1461.11	557.378	1430.5	557.378	1405.11	557.378	1607.28	557.378	1517.5	
557.728	1450.11	557.728	1437.5	557.728	1385.11	557.728	1634.28	557.728	1494.5	
558.079	1449.11	558.079	1452.5	558.079	1389.11	558.079	1609.28	558.079	1520.5	
558.429	1424.11	558.429	1464.5	558.429	1400.11	558.429	1610.28	558.429	1506.5	
558.779	1461.11	558.779	1463.5	558.779	1396.11	558.779	1585.28	558.779	1493.5	
559.13	1450.11	559.13	1438.5	559.13	1386.11	559.13	1590.28	559.13	1518.5	
559.48	1458.11	559.48	1458.5	559.48	1389.11	559.48	1608.28	559.48	1500.5	
559.83	1431.11	559.83	1438.5	559.83	1386.11	559.83	1583.28	559.83	1509.5	
560.18	1452.11	560.18	1439.5	560.18	1386.11	560.18	1597.28	560.18	1489.5	
560.531	1426.11	560.531	1427.5	560.531	1390.11	560.531	1574.28	560.531	1495.5	
560.881	1428.11	560.881	1424.5	560.881	1401.11	560.881	1577.28	560.881	1477.5	
561.231	1436.11	561.231	1438.5	561.231	1386.11	561.231	1579.28	561.231	1513.5	
561.581	1418.11	561.581	1420.5	561.581	1371.11	561.581	1593.28	561.581	1509.5	
561.931	1426.11	561.931	1443.5	561.931	1388.11	561.931	1589.28	561.931	1520.5	
562.281	1442.11	562.281	1428.5	562.281	1387.11	562.281	1608.28	562.281	1482.5	
562.631	1450.11	562.631	1441.5	562.631	1403.11	562.631	1573.28	562.631	1473.5	
562.981	1436.11	562.981	1436.5	562.981	1389.11	562.981	1570.28	562.981	1487.5	
563.33	1422.11	563.33	1426.5	563.33	1374.11	563.33	1570.28	563.33	1481.5	
563.68	1415.11	563.68	1428.5	563.68	1379.11	563.68	1571.28	563.68	1505.5	
564.03	1442.11	564.03	1439.5	564.03	1381.11	564.03	1594.28	564.03	1490.5	
564.38	1426.11	564.38	1445.5	564.38	1370.11	564.38	1599.28	564.38	1491.5	
564.729	1428.11	564.729	1426.5	564.729	1379.11	564.729	1573.28	564.729	1485.5	
565.079	1436.11	565.079	1422.5	565.079	1385.11	565.079	1580.28	565.079	1464.5	
565.429	1424.11	565.429	1423.5	565.429	1392.11	565.429	1607.28	565.429	1484.5	
565.778	1430.11	565.778	1444.5	565.778	1367.11	565.778	1598.28	565.778	1503.5	
566.128	1464.11	566.128	1428.5	566.128	1388.11	566.128	1594.28	566.128	1473.5	
566.478	1447.11	566.478	1426.5	566.478	1407.11	566.478	1600.28	566.478	1482.5	
566.827	1430.11	566.827	1447.5	566.827	1401.11	566.827	1610.28	566.827	1517.5	
567.176	1449.11	567.176	1435.5	567.176	1413.11	567.176	1601.28	567.176	1500.5	
567.526	1448.11	567.526	1442.5	567.526	1398.11	567.526	1606.28	567.526	1496.5	
567.875	1441.11	567.875	1449.5	567.875	1398.11	567.875	1599.28	567.875	1507.5	
568.225	1458.11	568.225	1436.5	568.225	1394.11	568.225	1633.28	568.225	1497.5	
568.574	1449.11	568.574	1443.5	568.574	1390.11	568.574	1608.28	568.574	1504.5	
568.923	1449.11	568.923	1437.5	568.923	1421.11	568.923	1598.28	568.923	1506.5	
569.272	1436.11	569.272	1427.5	569.272	1401.11	569.272	1600.28	569.272	1503.5	
569.622	1426.11	569.622	1421.5	569.622	1384.11	569.622	1576.28	569.622	1477.5	
569.971	1434.11	569.971	1461.5	569.971	1394.11	569.971	1603.28	569.971	1493.5	
570.32	1430.11	570.32	1459.5	570.32	1401.11	570.32	1593.28	570.32	1486.5	
570.669	1455.11	570.669	1445.5	570.669	1402.11	570.669	1594.28	570.669	1501.5	
571.018	1457.11	571.018	1449.5	571.018	1381.11	571.018	1630.28	571.018	1502.5	
571.367	1443.11	571.367	1464.5	571.367	1400.11	571.367	1618.28	571.367	1518.5	
571.716	1451.11	571.716	1457.5	571.716	1415.11	571.716	1636.28	571.716	1516.5	
572.065	1455.11	572.065	1441.5	572.065	1418.11	572.065	1643.28	572.065	1510.5	
572.414	1483.11	572.414	1453.5	572.414	1418.11	572.414	1620.28	572.414	1519.5	
572.763	1483.11	572.763	1490.5	572.763	1428.11	572.763	1640.28	572.763	1542.5	
573.112	1484.11	573.112	1497.5	573.112	1433.11	573.112	1637.28	573.112	1524.5	
573.461	1498.11	573.461	1493.5	573.461	1428.11	573.461	1660.28	573.461	1550.5	
573.809	1495.11	573.809	1500.5	573.809	1425.11	573.809	1665.28	573.809	1555.5	
574.158	1484.11	574.158	1497.5	574.158	1426.11	574.158	1672.28	574.158	1557.5	
574.507	1503.11	574.507	1518.5	574.507	1471.11	574.507	1667.28	574.507	1584.5	
574.855	1503.11	574.855	1511.5	574.855	1450.11	574.855	1663.28	574.855	1542.5	
