epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10305.2,0.7913,0.09689,0.20493,0.99042,0.98119,0.9937,0.84132,0.71161,0.06252,0.19921,0.0005941,0.0005941,0.0005941
43,10549.4,0.7826,0.09627,0.20427,0.99058,0.98119,0.99367,0.8431,0.70989,0.06236,0.19918,0.0005842,0.0005842,0.0005842
44,10793.8,0.77956,0.09509,0.20386,0.99116,0.98119,0.99364,0.84282,0.70732,0.06198,0.19885,0.0005743,0.0005743,0.0005743
45,11038,0.774,0.09414,0.20326,0.99128,0.98119,0.99363,0.84278,0.70395,0.06224,0.19852,0.0005644,0.0005644,0.0005644
46,11282.3,0.76786,0.0914,0.20226,0.99126,0.98119,0.99361,0.8423,0.70132,0.06293,0.19811,0.0005545,0.0005545,0.0005545
47,11526.7,0.77685,0.09342,0.20182,0.99049,0.97979,0.99355,0.84354,0.69923,0.06323,0.1978,0.0005446,0.0005446,0.0005446
48,11771,0.76059,0.0923,0.20129,0.99206,0.97907,0.99365,0.84542,0.69754,0.06285,0.19756,0.0005347,0.0005347,0.0005347
49,12015.4,0.75065,0.09177,0.20116,0.9899,0.97649,0.99361,0.84618,0.69458,0.06293,0.19729,0.0005248,0.0005248,0.0005248
50,12259.5,0.75401,0.09073,0.20118,0.99047,0.97761,0.99359,0.8454,0.69443,0.0626,0.19763,0.0005149,0.0005149,0.0005149
51,12503.7,0.7329,0.08872,0.19815,0.99287,0.97492,0.99357,0.84623,0.69174,0.06288,0.19711,0.000505,0.000505,0.000505
52,12747.9,0.74264,0.09179,0.20011,0.99203,0.97564,0.99355,0.8472,0.68852,0.06288,0.19659,0.0004951,0.0004951,0.0004951
53,12992.1,0.73578,0.08924,0.19931,0.99203,0.97599,0.9935,0.84659,0.68539,0.06293,0.1962,0.0004852,0.0004852,0.0004852
54,13236.3,0.72925,0.08839,0.19902,0.99165,0.97649,0.9935,0.84644,0.68289,0.06257,0.19585,0.0004753,0.0004753,0.0004753
55,13480.6,0.7275,0.08875,0.19882,0.98891,0.97869,0.99353,0.84667,0.67981,0.06257,0.19519,0.0004654,0.0004654,0.0004654
56,13724.8,0.72007,0.08781,0.19838,0.98735,0.97862,0.99349,0.84614,0.67748,0.06215,0.19504,0.0004555,0.0004555,0.0004555
57,13969.1,0.71968,0.08581,0.19741,0.98902,0.97806,0.99349,0.84773,0.67584,0.06213,0.19484,0.0004456,0.0004456,0.0004456
58,14213.4,0.72172,0.08828,0.19737,0.99049,0.97916,0.9933,0.84983,0.67487,0.06174,0.1947,0.0004357,0.0004357,0.0004357
