epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7649.32,0.7306,0.0723,0.17992,0.97828,0.90094,0.97394,0.814,0.62441,0.13424,0.18137,0.0005941,0.0005941,0.0005941
43,7831.34,0.74119,0.07343,0.18078,0.98594,0.93465,0.99105,0.85163,0.60429,0.08986,0.17899,0.0005842,0.0005842,0.0005842
44,8013.82,0.71438,0.07082,0.17949,0.95555,0.85979,0.95352,0.79776,0.63477,0.15617,0.18134,0.0005743,0.0005743,0.0005743
45,8196.54,0.73916,0.07304,0.18094,0.98114,0.86724,0.97974,0.82319,0.62475,0.14543,0.18083,0.0005644,0.0005644,0.0005644
46,8379.46,0.7245,0.07113,0.18067,0.97491,0.9066,0.98066,0.81997,0.62332,0.11764,0.18155,0.0005545,0.0005545,0.0005545
47,8562.89,0.71439,0.07011,0.1783,0.97051,0.87772,0.94986,0.79258,0.62626,0.12658,0.1803,0.0005446,0.0005446,0.0005446
48,8746.34,0.70427,0.06922,0.17724,0.97632,0.80333,0.90217,0.75385,0.62329,0.22506,0.18233,0.0005347,0.0005347,0.0005347
49,8929.09,0.70584,0.07149,0.17823,0.96082,0.76333,0.88415,0.74666,0.60407,0.22895,0.18067,0.0005248,0.0005248,0.0005248
50,9111.97,0.68711,0.06866,0.1765,0.9786,0.86,0.94845,0.79638,0.62478,0.17675,0.18231,0.0005149,0.0005149,0.0005149
51,9295.07,0.69103,0.06778,0.17714,0.97504,0.78116,0.87107,0.71943,0.6481,0.26366,0.18598,0.000505,0.000505,0.000505
52,9478.29,0.68396,0.06786,0.176,0.96318,0.78479,0.88705,0.7406,0.61607,0.22522,0.18285,0.0004951,0.0004951,0.0004951
53,9661.4,0.68879,0.06789,0.17716,0.97346,0.86667,0.97649,0.81189,0.63812,0.13995,0.18435,0.0004852,0.0004852,0.0004852
54,9844.41,0.68854,0.06906,0.17749,0.9682,0.81203,0.92633,0.77897,0.62475,0.22403,0.18263,0.0004753,0.0004753,0.0004753
55,10027.2,0.68948,0.06748,0.178,0.98194,0.90628,0.96887,0.81788,0.60913,0.109,0.17985,0.0004654,0.0004654,0.0004654
56,10210.2,0.68342,0.06732,0.17735,0.96724,0.84667,0.96258,0.81248,0.61694,0.17207,0.18144,0.0004555,0.0004555,0.0004555
57,10393.8,0.67748,0.06796,0.17638,0.9654,0.86667,0.97579,0.83029,0.58838,0.1419,0.17958,0.0004456,0.0004456,0.0004456
58,10576.4,0.67063,0.06653,0.17688,0.97975,0.90667,0.9807,0.83766,0.58489,0.10643,0.17819,0.0004357,0.0004357,0.0004357
59,10760.7,0.6738,0.06644,0.1771,0.96979,0.85612,0.94165,0.79249,0.60088,0.17891,0.18039,0.0004258,0.0004258,0.0004258
60,10943.4,0.67049,0.06742,0.17653,0.98058,0.84169,0.93278,0.77859,0.60666,0.19145,0.18037,0.0004159,0.0004159,0.0004159
61,11127,0.65303,0.06465,0.17542,0.96547,0.83879,0.92799,0.77827,0.6213,0.19453,0.17995,0.000406,0.000406,0.000406
62,11309.7,0.67264,0.06524,0.17677,0.97644,0.82882,0.928,0.77804,0.62429,0.1858,0.18323,0.0003961,0.0003961,0.0003961
63,11492.9,0.66321,0.06621,0.17549,0.97121,0.78727,0.92149,0.76337,0.62988,0.21009,0.18283,0.0003862,0.0003862,0.0003862
